Class,Image,Systematics,Otolith_type,Otolith_side,Description,Sampling_location,Depth ,Vernacular name,Habitat
Species1,R_sp1_Image001.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image002.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image003.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image004.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image005.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image006.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image007.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image008.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image009.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image010.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image011.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,R_sp1_Image012.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: elliptic, crenate dorsal margin and sinuate to dentate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum blunt, antirostrum angled, excisura narrow with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species2,R_Sp2_Image001.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: circular or discoidal, entire dorsal and ventral margins. Sulcus acusticus: archaesulcoid, mesial, median. Ostium and cauda: oval or not clearly differentiated. Anterior region: round, rostrum and antirostrum not defined, excisura and notch not defined. Posterior region: round.",,,,deep sea
Species2,R_Sp2_Image002.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: circular or discoidal, entire dorsal and ventral margins. Sulcus acusticus: archaesulcoid, mesial, median. Ostium and cauda: oval or not clearly differentiated. Anterior region: round, rostrum and antirostrum not defined, excisura and notch not defined. Posterior region: round.",,,,deep sea
Species2,R_Sp2_Image003.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: circular or discoidal, entire dorsal and ventral margins. Sulcus acusticus: archaesulcoid, mesial, median. Ostium and cauda: oval or not clearly differentiated. Anterior region: round, rostrum and antirostrum not defined, excisura and notch not defined. Posterior region: round.",,,,deep sea
Species2,R_Sp2_Image004.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: circular or discoidal, entire dorsal and ventral margins. Sulcus acusticus: archaesulcoid, mesial, median. Ostium and cauda: oval or not clearly differentiated. Anterior region: round, rostrum and antirostrum not defined, excisura and notch not defined. Posterior region: round.",,,,deep sea
Species4,L_sp4_Image001.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,L_sp4_Image002.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,L_sp4_Image003.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,L_sp4_Image004.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,L_sp4_Image005.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,L_sp4_Image006.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,L_sp4_Image007.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,L_sp4_Image008.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,R_sp4_Image001.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,R_sp4_Image002.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,R_sp4_Image003.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,R_sp4_Image004.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,R_sp4_Image005.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species4,R_sp4_Image006.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Oblong, lobed dorsal margin and approximately entire ventral margin. Sulcus acusticus: homosulcoid, mesial, median. Ostium: Tubular, somewhat equal to cauda. Cuda: tubular, straight. Anterior region: Round, Rostrum and antirostrum not developed, excisura and notch not developed. Posterior region: Angled.",,,,deep sea
Species5,L_sp5_Image001.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image002.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image003.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image004.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image005.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image006.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image007.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image008.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image009.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image010.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image011.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image012.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,L_sp5_Image013.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin with dentate ends.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image001.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image002.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image003.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image004.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image005.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image006.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image007.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image008.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image009.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image010.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image011.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image012.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image013.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image014.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image016.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.   Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image017.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.   Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Image018.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.   Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
Species5,R_sp5_Multi Focus Image - 1.jpg,,Sagittal,right,"Type: Sagittal, Side: Right otolith. Shape: Lanceolated to spindle shaped. crenate dorsal margin, entire ventral margin.  Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, equal to cauda. Cauda: tubular, straight. Anterior region: lanceolated, rostrum pointed, antirostrum poorly defined or not developed, excisura and notch absent. Posterior region: round",,,,deep sea
