path,source,true_label,assign_class,maha_min,pca_residual,knn_mean
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (110).tif,Test,Brachypterois serrulata,Brachypterois serrulata,76.55048,2.5624793,6.190542773718737
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (111).tif,Test,Brachypterois serrulata,Brachypterois serrulata,66.11414,2.5798154,5.787097110748291
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (112).tif,Test,Brachypterois serrulata,Brachypterois serrulata,51.75252,2.602566,5.020404236183815
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (113).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.677498,2.1940885,3.871845772095211
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (114).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.91804,2.0809014,4.634818642006569
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (115).tif,Test,Brachypterois serrulata,Brachypterois serrulata,69.4062,2.557059,5.508369333611183
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (116).tif,Test,Brachypterois serrulata,Brachypterois serrulata,71.81853,2.5313196,5.566587256903551
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (12).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.04234,1.5754548,2.6870990633964538
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (13).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.97307,1.4394429,3.3191542790991595
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (14).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.588467,1.4095365,3.223694445915706
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (15).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.029274,1.6564561,3.950122400078078
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (16).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.1081,1.6450913,3.905169794426613
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (17).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.275383,1.5138493,3.8592821351453166
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (18).tif,Test,Brachypterois serrulata,Brachypterois serrulata,42.050465,1.5802367,3.883451249466591
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (19).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.548626,1.4064846,3.362813915212166
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (2).tif,Test,Brachypterois serrulata,Brachypterois serrulata,29.563267,1.1067176,2.3763313722610473
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (20).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.59378,1.4313259,3.2942782349537834
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (21).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.11335,1.4243337,3.0923427890402606
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (22).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.986263,1.4928302,3.2949040316206744
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (23).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.568268,1.3634225,3.270098229844582
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (24).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.693295,1.3403966,3.1466521763801576
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (25).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.480133,1.5902408,2.8429431547713397
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (26).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.721592,1.3433917,2.2588338444905354
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (27).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.847668,1.4135833,2.49696277995826
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (28).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.85645,1.4577208,2.576501192913704
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (29).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.974716,1.5845454,2.789963970184326
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (3).tif,Test,Brachypterois serrulata,Brachypterois serrulata,32.552166,1.2364968,2.566682643757515
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (30).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.959454,1.5620854,2.7228431446879107
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (31).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.31657,1.4034739,2.341850556333077
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (32).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.724155,1.4626178,2.4948346538495048
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (33).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.54212,1.4908066,2.425040661294472
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (34).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.24089,1.5404027,2.626219966278725
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (35).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.63032,1.5717325,2.6670773458480834
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (36).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.358364,1.5533113,2.524657618828304
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (37).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.07867,1.1162255,2.4159454531620965
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (38).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.893894,1.1763613,2.454768470723641
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (39).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.648735,1.1024406,2.289412800271523
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (4).tif,Test,Brachypterois serrulata,Brachypterois serrulata,33.64413,1.2503928,2.4038871874404073
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (40).tif,Test,Brachypterois serrulata,Brachypterois serrulata,34.23943,1.0630019,2.272962429523468
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (41).tif,Test,Brachypterois serrulata,Brachypterois serrulata,33.77474,1.0590862,2.2489959214406086
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (42).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.028492,1.1298889,2.4037709187132648
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (43).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.731865,1.0927267,2.405403026540291
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (44).tif,Test,Brachypterois serrulata,Brachypterois serrulata,34.445065,1.1335772,2.3044354246718215
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (45).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.615757,1.1045697,2.361832248682879
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (46).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.202316,1.1573414,2.325235593318939
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (47).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.63184,1.1965638,2.4520532650898916
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (48).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.289616,1.2324971,2.2761670923233033
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (49).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.829475,1.6435245,3.559454860687256
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (5).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.37303,1.2622607,2.49191490650177
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (50).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.77262,1.4008276,3.124551777706795
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (51).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.561787,1.5432208,3.3188752164435504
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (52).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.481934,1.5459317,3.391721286640816
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (53).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.26497,1.4517128,3.1709755206108095
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (54).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.1704,1.4429765,3.2069913549374562
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (55).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.704292,1.5541177,3.309391273970507
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (56).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.461773,1.3853571,3.28860464014257
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (57).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.903152,1.499015,3.2248296467044613
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (58).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.557632,1.3878433,3.1322436751914142
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (59).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.0329,1.3845755,3.2766665244102477
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (6).tif,Test,Brachypterois serrulata,Brachypterois serrulata,32.958763,1.2539811,2.343708643913269
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (60).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.43522,1.4616336,3.3098715867591024
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (61).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.823643,1.3785939,2.5607944010359573
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (62).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.37931,1.4208094,2.486407315598183
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (63).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.275715,1.2961482,2.3083005403143693
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (64).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.634342,1.2635301,2.3039188994956135
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (65).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.60447,1.3715547,2.4549761024876933
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (66).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.514374,1.4493014,2.593390089471352
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (67).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.316887,1.3507297,2.4084467639517904
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (68).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.42582,1.379016,2.4116490529639054
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (69).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.345802,1.3790954,2.296128322596453
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (7).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.639835,1.3178757,2.3926455349873526
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (70).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.267334,1.4798102,2.718488818604958
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (71).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.754864,1.3232553,2.5689583110809324
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (72).tif,Test,Brachypterois serrulata,Brachypterois serrulata,51.38758,1.7707458,3.8852026668765802
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (73).tif,Test,Brachypterois serrulata,Brachypterois serrulata,53.489952,1.6760043,4.09104900823658
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (74).tif,Test,Brachypterois serrulata,Brachypterois serrulata,49.226734,1.4567913,3.5698123373580097
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (75).tif,Test,Brachypterois serrulata,Brachypterois serrulata,52.76274,1.4961638,3.677653181420021
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (76).tif,Test,Brachypterois serrulata,Brachypterois serrulata,52.460777,1.593198,3.7727558321904167
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (77).tif,Test,Brachypterois serrulata,Brachypterois serrulata,55.21365,1.6948354,4.139337298737221
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (78).tif,Test,Brachypterois serrulata,Brachypterois serrulata,49.35972,1.5169799,3.6009184880208
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (79).tif,Test,Brachypterois serrulata,Brachypterois serrulata,51.810955,1.7243499,3.96582980632782
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (8).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.589302,1.4423175,2.7413623666763307
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (80).tif,Test,Brachypterois serrulata,Brachypterois serrulata,48.744755,1.5159456,3.6091665840148925
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (81).tif,Test,Brachypterois serrulata,Brachypterois serrulata,53.42238,1.6893917,4.0058651185035705
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (82).tif,Test,Brachypterois serrulata,Brachypterois serrulata,51.27386,1.733551,3.879559934774636
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (83).tif,Test,Brachypterois serrulata,Brachypterois serrulata,49.80009,1.588794,3.6375723566603777
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (84).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.614098,1.7056346,3.8841440223318866
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (85).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.015804,1.7672297,3.9968877191494925
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (86).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.009785,1.7947572,4.003265786170959
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (87).tif,Test,Brachypterois serrulata,Brachypterois serrulata,42.16459,1.8150291,4.033315515036486
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (88).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.70028,1.7893031,3.9633812618255617
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (89).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.156902,1.9459386,4.051430379862689
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (9).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.374893,1.5941626,2.9876670502287674
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (90).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.61719,1.8340033,4.168714988060482
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (91).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.344357,1.7754672,3.9354987953764726
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (92).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.05637,1.8261892,4.0671254153203
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (93).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.767265,1.9284638,4.019942569250963
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (94).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.87958,1.6484386,3.980642485136889
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (95).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.12339,1.8383274,4.050469950635445
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (96).tif,Test,Brachypterois serrulata,Brachypterois serrulata,50.05655,1.4000719,3.5952944631527886
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (97).tif,Test,Brachypterois serrulata,Brachypterois serrulata,48.752342,1.3267063,3.423050005303078
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (98).tif,Test,Brachypterois serrulata,Brachypterois serrulata,50.101025,1.3678054,3.527941857931878
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (99).tif,Test,Brachypterois serrulata,Brachypterois serrulata,48.436962,1.2974125,3.3978440523147584
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (1).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.19402,1.5297399,3.167603019031783
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (10).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.67198,1.5536994,3.3100614474492147
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (11).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.143173,1.5254658,3.265714983768947
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (12).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.68419,1.5312883,3.290151232678902
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (13).tif,Test,Brachypterois serrulata,Brachypterois serrulata,47.59329,1.6592144,3.639781018869529
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (14).tif,Test,Brachypterois serrulata,Brachypterois serrulata,47.85931,1.7313826,3.7296441219908525
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (15).tif,Test,Brachypterois serrulata,Brachypterois serrulata,46.83299,1.6795111,3.8478294391583425
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (16).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.91524,1.6892666,3.7348807592343314
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (17).tif,Test,Brachypterois serrulata,Brachypterois serrulata,50.069374,1.7479875,3.8495036967127523
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (18).tif,Test,Brachypterois serrulata,Brachypterois serrulata,50.504337,1.707108,4.191034781761654
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (19).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.120502,1.5656087,3.4544562800257403
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (2).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.55319,1.6405936,3.2728274677855302
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (20).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.507843,1.643736,3.4652805899245074
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (21).tif,Test,Brachypterois serrulata,Brachypterois serrulata,50.051727,1.7860286,3.8789035577725395
